Order_ID,Order_Date,Ship_Date,Customer_ID,Customer_Name,Gender,Age,Email,Phone,Region,State,City,Product_ID,Product_Name,Category,Brand,Quantity,Unit_Price,Discount,Sales,Cost,Profit,Payment_Mode,Order_Priority,Customer_Segment,Delivery_Days,Customer_Rating,Returned
ORD000001,2023-08-04,2023-08-07,CUST00556,Niharika Sur,Female,18,karan57@example.com,7177047405,South,Karnataka,Mysuru,P1002,Laptop,Electronics,Samsung,5,97030,10.0,436635.0,281750.15,154884.85,Debit Card,Medium,Premium,3,1.0,No
ORD000002,2023-08-18,2023-08-20,CUST03566,Nachiket Prabhakar,Male,25,ichand@example.net,08035514416,North,Haryana,Gurugram,P1137,Yoga Mat,Sports,Nike,2,89565,0.0,179130.0,151247.5,27882.5,Debit Card,High,Corporate,2,4.0,Yes
ORD000003,2023-06-27,2023-06-30,CUST03732,Jeet Mukhopadhyay,Male,66,qsarin@example.org,+911433582426,East,Odisha,Puri,P1110,Cookware Set,Home & Kitchen,Nike,10,20874,10.0,187866.0,131862.0,56004.0,Cash,Low,Corporate,3,3.0,No
ORD000004,2025-02-09,2025-02-14,CUST03773,Azaan Bassi,Male,49,swamybrinda@example.com,8260175933,West,Rajasthan,Jodhpur,P1136,Yoga Mat,Sports,Sony,5,84580,5.0,401755.0,297223.3,104531.7,Cash,Low,Premium,5,4.0,No
ORD000005,2022-06-02,2022-06-04,CUST00981,Aahana Shukla,Female,43,ghoshdaksh@example.org,8657592373,West,Goa,Margao,P1087,Sweater,Clothing,Dell,10,71566,0.0,715660.0,406700.5,308959.5,Debit Card,Critical,Corporate,2,4.0,Yes
ORD000006,2025-06-04,2025-06-06,CUST00962,Advay Parmer,Male,28,sara99@example.org,4974324737,South,Karnataka,Belagavi,P1146,Dumbbell,Sports,Nilkamal,5,97748,25.0,366555.0,376872.95,-10317.95,Cash,Critical,Regular,2,3.0,No
ORD000007,2023-06-03,2023-06-07,CUST00271,Nitesh Mani,Male,29,gayathri19@example.com,05153123029,East,Jharkhand,Jamshedpur,P1097,Pressure Cooker,Home & Kitchen,Puma,4,52376,10.0,188553.6,123453.04,65100.56,Net Banking,Critical,Premium,4,5.0,No
ORD000008,2025-08-14,2025-08-19,CUST01309,Banjeet Yohannan,Male,44,agastya04@example.net,+911444457439,East,Odisha,Puri,P1144,Tennis Ball,Sports,Nilkamal,2,6317,10.0,11370.6,9635.14,1735.46,UPI,Critical,Premium,5,1.0,No
ORD000009,2022-09-02,2022-09-05,CUST01025,Ucchal Chowdhury,Female,23,lchowdhury@example.com,+918853246243,Central,Chhattisgarh,Bilaspur,P1048,Bookshelf,Furniture,Dell,6,70014,25.0,315063.0,346799.52,-31736.52,Cash,High,Premium,3,5.0,Yes
ORD000010,2025-03-10,2025-03-12,CUST01642,Ekansh Agrawal,Male,23,azad54@example.org,03001951101,Central,Madhya Pradesh,Gwalior,P1147,Dumbbell,Sports,Cello,4,26325,0.0,105300.0,69420.76,35879.24,Net Banking,Medium,Premium,2,4.0,No
ORD000011,2023-10-27,2023-11-02,CUST01279,Hardik Chada,Male,66,jonathan62@example.com,+910131239366,South,Kerala,Kannur,P1102,Water Bottle,Home & Kitchen,Bajaj,4,28438,0.0,113752.0,79827.2,33924.8,UPI,Medium,Premium,6,5.0,Yes
ORD000012,2024-04-08,2024-04-11,CUST00316,Harinakshi Khatri,Female,36,gourfaqid@example.org,2724065095,South,Karnataka,Hubli,P1072,Shirt,Clothing,HP,4,61713,25.0,185139.0,199740.56,-14601.56,Credit Card,Medium,Premium,3,5.0,No
ORD000013,2023-02-26,2023-03-04,CUST00789,Kritika Sibal,Female,67,adugal@example.org,1553019674,East,Bihar,Gaya,P1124,Football,Sports,Boat,1,46857,30.0,32799.9,36737.52,-3937.62,Credit Card,Low,Premium,6,3.0,Yes
ORD000014,2024-05-11,2024-05-17,CUST01953,Shaurya Gupta,Male,55,mpandey@example.net,+918636600762,Central,Chhattisgarh,Durg,P1139,Skipping Rope,Sports,Samsung,10,23905,15.0,203192.5,173114.5,30078.0,Credit Card,Critical,Regular,6,1.0,Yes
ORD000015,2024-07-02,2024-07-05,CUST03723,Fitan Vig,Male,50,pben@example.com,7245023603,South,Telangana,Karimnagar,P1056,Coffee Table,Furniture,Godrej,10,80007,0.0,800070.0,541600.5,258469.5,Net Banking,Critical,Corporate,3,1.0,No
ORD000016,2025-12-04,2025-12-10,CUST01822,Warda Mody,Female,37,jeevika77@example.com,09885311499,Central,Madhya Pradesh,Gwalior,P1071,Shirt,Clothing,Boat,1,46938,15.0,39897.3,31780.48,8116.82,Credit Card,Low,Premium,6,1.0,No
ORD000017,2024-06-15,2024-06-16,CUST02166,Rachana Jha,Female,26,paifalak@example.net,+916948629087,South,Telangana,Nizamabad,P1029,Mouse,Electronics,Milton,6,52356,20.0,251308.8,256148.04,-4839.24,UPI,Medium,Premium,1,1.0,Yes
ORD000018,2022-01-05,2022-01-07,CUST02082,Wahab Menon,Male,18,janyawali@example.org,3122081718,South,Telangana,Hyderabad,P1099,Pressure Cooker,Home & Kitchen,Nike,4,41941,0.0,167764.0,139026.96,28737.04,UPI,High,Regular,2,1.0,No
ORD000019,2023-01-19,2023-01-23,CUST00490,Krisha Saini,Female,34,tbaria@example.net,+913089854057,Central,Chhattisgarh,Durg,P1126,Football,Sports,HP,3,98735,20.0,236964.0,176646.6,60317.4,Credit Card,Medium,Corporate,4,5.0,No
ORD000020,2022-10-01,2022-10-02,CUST00035,Saanvi Bhagat,Female,64,dubevictor@example.org,+911291727175,East,Jharkhand,Hazaribagh,P1037,Sofa,Furniture,Lenovo,3,50932,0.0,152796.0,101530.77,51265.23,UPI,High,Corporate,1,4.0,No
ORD000021,2025-12-08,2025-12-13,CUST00914,Anthony Kala,Male,38,sachdevekalinga@example.org,+917907252883,Central,Chhattisgarh,Bilaspur,P1142,Tennis Ball,Sports,Puma,9,15657,10.0,126821.7,93785.85,33035.85,UPI,Critical,Corporate,5,3.0,No
ORD000022,2024-03-20,2024-03-27,CUST00038,Leela Malhotra,Female,31,forummani@example.com,00362398875,Central,Chhattisgarh,Raipur,P1062,T-Shirt,Clothing,Sony,7,30661,20.0,171701.6,155933.4,15768.2,Net Banking,High,Regular,7,4.0,No
ORD000023,2022-03-08,2022-03-09,CUST00785,Zansi Nadig,Female,64,vinaya94@example.net,04102789313,East,Odisha,Cuttack,P1007,Tablet,Electronics,Boat,2,29393,10.0,52907.4,40254.46,12652.94,Debit Card,Medium,Premium,1,3.0,Yes
ORD000024,2024-03-14,2024-03-15,CUST00069,Yahvi Aurora,Female,51,kritika55@example.com,6892373581,Central,Madhya Pradesh,Indore,P1121,Cricket Bat,Sports,Reebok,8,19910,5.0,151316.0,108140.96,43175.04,Cash,Critical,Regular,1,2.0,No
ORD000025,2023-12-26,2023-12-31,CUST03143,Jagat Sur,Male,23,hpalan@example.net,1880631182,South,Karnataka,Hubli,P1081,Kurta,Clothing,Sony,6,63592,5.0,362474.4,234320.34,128154.06,Net Banking,High,Premium,5,3.0,No
ORD000026,2023-10-25,2023-10-31,CUST01042,Jhalak Parmar,Female,53,voommen@example.net,3947170362,North,Haryana,Ambala,P1038,Sofa,Furniture,Philips,8,61848,25.0,371088.0,350670.4,20417.6,Credit Card,Medium,Corporate,6,2.0,No
ORD000027,2023-04-16,2023-04-17,CUST00594,Falan Buch,Male,30,chandaniiyer@example.org,+919884086664,Central,Chhattisgarh,Bilaspur,P1018,Bluetooth Speaker,Electronics,Boat,6,38430,10.0,207522.0,194970.72,12551.28,Net Banking,Critical,Corporate,1,4.0,No
